Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Neighborhoods (old),Zip Codes,Fire Prevention Districts,Police Districts,Supervisor Districts,,FixedLocations
Voice Of Pentecost Academy,Private,0,12,K-12,Independent / Private,IND334,5,17,IND,3.87E+13,"1970 OCEAN AVE, SAN FRANCISCO, CA 94127",7,6075,SAN FRANCISCO,"CA
(37.726364, -122.463974)",40,59,9,8,4,,"CA (37.726364, -122.463974)"
San Miguel Early Education School,SFUSD,-2,5,PK-5,USD PreK-5,PS102,3,10,PS,3.87E+13,"300 SENECA AVE, San Francisco, CA 94112",11,6075,SAN FRANCISCO,"CA
(37.721645, -122.44471)",25,"28,861",9,7,6,,"CA (37.721645, -122.44471)"
Ucsf - University Child Care Center - Mission Bay,Private,-2,-1,PK,Independent / Private,CDC152,3,4,CDC,384001586,"1555 6TH ST, SAN FRANCISCO, CA 94158",6,6075,SAN FRANCISCO,"CA
(37.768677, -122.393967)",20,310,14,3,9,,"CA (37.768677, -122.393967)"
Longfellow Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS068,5,10,PS,3.87E+13,"755 MORSE ST, San Francisco, CA 94112",11,6075,SAN FRANCISCO,"CA
(37.710423, -122.446739)",5,"28,861",9,7,6,,"CA (37.710423, -122.446739)"
"Webster, Daniel Webster Out-Of-School (OST) Program",SFUSD,0,5,K-5,USD Grades K-5,PS123,5,10,PS,3.87E+13,"465 MISSOURI ST, San Francisco, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.760521, -122.395843)",29,"28,856",10,3,8,,"CA (37.760521, -122.395843)"
Mission High School,SFUSD,9,12,12-Sep,USD Grades 9-12,PS080,14,17,PS,3.87E+13,"3750 18TH ST, San Francisco, CA 94114",8,6075,SAN FRANCISCO,"CA
(37.76202, -122.427307)",3,"28,862",8,4,5,,"CA (37.76202, -122.427307)"
Miraloma Elementary School,SFUSD,0,5,K-5,USD Grades K-5,PS078,5,10,PS,3.87E+13,"175 OMAR WAY, San Francisco, CA 94127",7,6075,SAN FRANCISCO,"CA
(37.738636, -122.450188)",40,59,9,7,4,,"CA (37.738636, -122.450188)"
Golden Gate Guppies Preschool,Private,-2,-1,PK,Independent / Private,CDC046,3,4,CDC,384002090,"2426 CALIFORNIA ST, SAN FRANCISCO, CA 94115",2,6075,SAN FRANCISCO,"CA
(37.789124, -122.434509)",27,"29,490",13,9,1,,"CA (37.789124, -122.434509)"
Lands End School,Private,-2,-1,PK,Independent / Private,CDC071,3,4,CDC,380506270,"4150 CLEMENT ST BLDG T35, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.782593, -122.504578)",15,55,11,6,2,,"CA (37.782593, -122.504578)"
San Francisco Pacific Academy,Private,0,8,K-8,Independent / Private,IND317,5,13,IND,3.87E+13,"3301 BALBOA ST, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.775639, -122.494286)",26,55,11,6,2,,"CA (37.775639, -122.494286)"
"Wells, Ida B. Wells High School",SFUSD,9,12,12-Sep,USD Grades 9-12,PS124,14,17,PS,3.87E+13,"1099 HAYES ST, SAN FRANCISCO, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.775013, -122.433899)",10,"29,492",15,5,11,,"CA (37.775013, -122.433899)"
Munchkinland Preschool And Family Daycare,Private,-2,-1,PK,Independent / Private,CDC110,3,4,CDC,,"4710 CABRILLO ST, SAN FRANCISCO, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.773445, -122.509254)",26,55,11,6,2,,"CA (37.773445, -122.509254)"
